,maximum_x,minimum_x,entropy_x,interquartile_range_x,maximum_y,minimum_index_y,mean_absolute_deviation_y,median_y,skewness_y,standard_deviation_y,RMS_y,skewness_z,activity
504,1.288081,-0.402226,4.7068905956085185,0.363919,7.158664,29.0,0.33732715111111133,6.394913,0.5343304150379022,0.41939854758989753,6.483191829453637,0.20240461329884513,idle
505,1.288081,-0.8379709999999999,4.773557262275185,0.445322,7.321469,27.0,0.35587423555555564,6.430826,0.4467339345171404,0.44375429015544804,6.512043141441435,0.31199152663142965,idle
506,1.288081,-0.8379709999999999,4.773557262275185,0.45011,7.321469,28.0,0.4297646044444444,6.394913,0.04465070526419013,0.5683829594591826,6.428548779945816,0.4578701610072684,idle
507,0.076614,-2.901772,4.164735178725505,0.0526729999999999,0.272939,17.0,0.20104907999999996,-0.11971,0.46942859669704384,0.36007755213321135,0.36561065140889065,-0.5933010779142899,idle
508,1.288081,-1.015141,4.840223928941851,0.45011,7.321469,26.0,0.48173475555555534,6.361394499999999,-0.1634262291522749,0.621167119418818,6.3579726039491895,0.3908749134194422,idle
509,1.288081,-1.015141,4.840223928941851,0.45011,7.321469,24.0,0.4598463999999999,6.236895499999999,0.014436588060456324,0.5970870654411241,6.268271503466528,0.20213915413940217,idle
510,1.288081,-1.015141,4.773557262275185,0.497994,7.321469,22.0,0.46049549777777776,6.2608375,-0.09693325093847208,0.5977195589651126,6.270079518743867,-0.0360500222330929,idle
511,1.977611,-1.015141,4.840223928941851,0.497994,7.321469,20.0,0.4722643422222221,6.236895499999999,0.06756714066854719,0.6165704155569869,6.281117444829331,-0.1782002248718382,idle
512,3.131616,-1.015141,4.840223928941851,0.497994,7.321469,29.0,0.773806,6.229712999999999,-0.5043967445481448,1.4154542187610248,6.156649498434894,0.09433396362941326,idle
513,3.131616,-1.015141,4.840223928941851,0.407014,7.321469,27.0,1.220915244444444,6.229712999999999,-0.9174967301335742,1.9383311586746312,5.960861420633791,0.2829999207460725,idle
514,3.131616,-1.015141,4.840223928941851,0.3926490000000001,7.321469,25.0,1.7118649577777767,6.203377,-1.3072778461422134,2.36878541859962,5.687882441191329,0.09340012359493466,idle
515,3.131616,-1.015141,4.840223928941851,0.3878610000000001,7.321469,23.0,2.188811266666666,5.7915745,-1.1801568763804178,2.674252519444427,5.441973400302399,0.4088450916061267,idle
516,3.131616,-1.015141,4.840223928941851,0.3830730000000001,7.321469,21.0,2.56479672,5.717354,-1.4896459795116608,2.8743677752237935,5.16399718158727,0.5959277947677076,idle
517,3.131616,-1.015141,4.773557262275185,0.359131,7.321469,19.0,2.816815746666667,5.439626499999999,-1.6073978748571327,2.9891067887762657,4.864720328462819,0.317939687312199,idle
